site,date,temp,50 cm from bottom,1 m from surface
F,2020-01-01,5.944,5.54492361111111,6.34261805555556
F,2020-01-02,5.963,5.67488888888889,6.25030555555556
F,2020-01-03,5.949,5.66117361111111,6.23684722222222
F,2020-01-04,5.901,5.63374305555556,6.16806944444445
F,2020-01-05,5.791,5.47214583333333,6.10908333333333
F,2020-01-06,5.736,5.50318055555556,5.96921527777778
F,2020-01-07,5.784,5.57527777777778,5.99247916666667
F,2020-01-08,5.690,5.45910416666667,5.92013888888889
F,2020-01-09,5.686,5.46954166666667,5.90235416666667
F,2020-01-10,5.696,5.53217361111111,5.8594375
F,2020-01-11,5.622,5.33564583333333,5.90735416666667
F,2020-01-12,5.589,5.28268055555556,5.89530555555556
F,2020-01-13,5.640,5.31347222222222,5.96713888888889
F,2020-01-14,5.686,5.74820138888889,5.62352083333333
F,2020-01-15,5.774,6.07645833333333,5.47229861111111
F,2020-01-16,6.153,6.27115277777778,6.03470833333333
F,2020-01-17,6.106,6.15623611111111,6.05653472222222
F,2020-01-18,5.574,5.46686805555556,5.68048611111111
F,2020-01-19,5.799,5.83130555555556,5.76738888888889
F,2020-01-20,5.752,5.75630555555556,5.747375
F,2020-01-21,5.628,5.55228472222222,5.703375
F,2020-01-22,5.598,5.61970138888889,5.57726388888889
F,2020-01-23,5.668,5.67704166666667,5.65986111111111
F,2020-01-24,5.635,5.66818055555556,5.60234722222222
F,2020-01-25,5.361,5.36855555555556,5.35395138888889
F,2020-01-26,5.472,5.42915277777778,5.51497916666667
F,2020-01-27,5.486,5.4445,5.52839583333333
F,2020-01-28,5.434,5.378125,5.49047916666667
F,2020-01-29,5.357,5.36034027777778,5.35308333333333
F,2020-01-30,5.288,5.237125,5.33903472222222
F,2020-01-31,5.420,5.41132638888889,5.42869444444445
F,2020-02-01,5.454,5.48874305555556,5.41855555555556
F,2020-02-02,5.420,5.40258333333333,5.43777777777778
F,2020-02-03,5.321,5.30796527777778,5.33386805555556
F,2020-02-04,5.369,5.36591666666667,5.37278472222222
F,2020-02-05,5.255,5.29875,5.21027777777778
F,2020-02-06,5.034,5.04841666666667,5.01983333333333
F,2020-02-07,4.994,4.92161805555556,5.06676388888889
F,2020-02-08,5.157,5.13047222222222,5.1839375
F,2020-02-09,5.130,5.11010416666667,5.14889583333333
F,2020-02-10,5.155,5.20725,5.10366666666667
F,2020-02-11,5.112,5.15490972222222,5.06835416666667
F,2020-02-12,5.038,5.11200694444444,4.96409027777778
F,2020-02-13,5.035,5.07484027777778,4.99559027777778
F,2020-02-14,4.982,5.12836805555556,4.83580555555556
F,2020-02-15,5.008,5.10395833333333,4.91297916666667
F,2020-02-16,4.922,4.93682638888889,4.90796527777778
F,2020-02-17,4.806,4.77232638888889,4.83893055555556
F,2020-02-18,4.688,4.88515972222222,4.49090972222222
F,2020-02-19,4.836,5.09395833333333,4.57755555555556
F,2020-02-20,4.781,4.955125,4.60669444444444
F,2020-02-21,4.720,4.85871527777778,4.58036111111111
F,2020-02-22,4.710,4.88788194444445,4.53149305555556
F,2020-02-23,4.701,4.84393055555556,4.55881944444444
F,2020-02-24,4.770,4.95589583333333,4.58408333333333
F,2020-02-25,4.777,5.01561111111111,4.53877777777778
F,2020-02-26,4.755,5.02779861111111,4.48204166666667
F,2020-02-27,4.474,4.57109027777778,4.37695833333333
F,2020-02-28,4.646,4.81553472222222,4.47559027777778
F,2020-03-01,4.769,5.00405555555556,4.53490277777778
F,2020-03-02,4.789,5.04359027777778,4.53447916666667
F,2020-03-03,4.792,5.1244375,4.45888888888889
F,2020-03-04,4.728,5.08264583333333,4.37327083333333
F,2020-03-05,4.710,5.13236805555556,4.28767361111111
F,2020-03-06,4.751,5.25147222222222,4.25050694444445
F,2020-03-07,4.737,5.25906944444444,4.21451388888889
F,2020-03-08,4.732,5.33195138888889,4.13126388888889
F,2020-03-09,4.656,5.22831944444445,4.08377777777778
F,2020-03-10,4.561,5.14510416666667,3.97616666666667
F,2020-03-11,4.586,5.13328472222222,4.03780555555556
F,2020-03-12,4.543,5.13042361111111,3.95547222222222
F,2020-03-13,4.560,5.20831944444445,3.91225694444444
F,2020-03-14,4.589,5.24932638888889,3.92845833333333
F,2020-03-15,4.603,5.30134027777778,3.90376388888889
F,2020-03-16,4.477,5.14565972222222,3.80766666666667
F,2020-03-17,4.493,5.1751875,3.81056944444444
F,2020-03-18,4.544,5.16449172576832,3.92286155437352
F,2020-03-19,4.639,5.27536805555556,4.00247916666667
F,2020-03-20,4.629,5.26791666666667,3.99047222222222
F,2020-03-21,4.320,5.01645138888889,3.62306944444444
F,2020-03-22,4.342,5.1726875,3.51096527777778
F,2020-03-23,4.468,5.15985416666667,3.77689583333333
F,2020-03-24,4.476,5.11309722222222,3.83878472222222
F,2020-03-25,4.493,5.09378472222222,3.8923125
F,2020-03-26,4.534,5.12164583333333,3.94548611111111
F,2020-03-27,4.535,5.07355555555556,3.99671527777778
F,2020-03-28,4.549,5.12216666666667,3.97521527777778
F,2020-03-29,4.570,5.12336805555556,4.01573611111111
F,2020-03-30,4.604,5.19580555555556,4.01154166666667
F,2020-03-31,4.632,5.21036111111111,4.05331944444444
F,2020-04-01,4.309,5.15011111111111,3.46871527777778
F,2020-04-02,4.071,5.17018055555555,2.97252083333333
F,2020-04-03,3.956,4.93890972222222,2.97282638888889
F,2020-04-04,4.284,5.05577777777778,3.51267361111111
F,2020-04-05,4.570,5.24316666666666,3.89597916666667
F,2020-04-06,4.528,5.16086805555556,3.89428472222222
F,2020-04-07,4.596,5.20859027777778,3.98311111111111
F,2020-04-08,4.553,5.17743055555556,3.92898611111111
F,2020-04-09,4.723,5.20590972222222,4.24101388888889
F,2020-04-10,4.778,5.08929166666667,4.4660625
F,2020-04-11,4.791,5.12532638888889,4.45706944444444
F,2020-04-12,4.912,5.23432638888889,4.58870138888889
F,2020-04-13,4.918,5.21279861111111,4.62252083333333
F,2020-04-14,4.971,5.23585416666667,4.70688194444444
F,2020-04-15,4.990,5.21252408392435,4.76711805555556
F,2020-04-16,4.822,5.06498611111111,4.57834027777778
F,2020-04-17,5.108,5.27895833333333,4.93719444444444
F,2020-04-18,5.107,5.33059027777778,4.8825625
