Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,299,   1,     -0.738,     -0.000,      6.327,      1.909,      0.063,     14.287,             0.,            24.,         85857.,         85857.,10.04,    F
   2,300,   1,     -0.100,     -0.000,      1.064,      1.417,      0.031,      2.404,             0.,             5.,         18925.,         18925.,13.09,    F
   3,301,   1,     -0.500,     -0.000,      1.893,      1.021,      0.011,      4.275,             0.,             7.,         26333.,         26333.,12.48,    F
   4,302,   1,     -0.775,     -0.000,      4.152,      0.735,      0.023,      9.376,             0.,            15.,         53088.,         53088.,10.68,    F
   5,303,   1,     -0.325,     -0.000,      3.114,      0.476,      0.029,      7.032,             0.,            11.,         40579.,         40579.,10.90,    F
   6,304,   1,     -0.538,     -0.000,      3.403,      0.329,      0.026,      7.686,             0.,            12.,         42859.,         42859.,10.38,    F
   7,305,   1,     -0.375,     -0.000,      2.360,      0.410,      0.023,      5.331,             0.,             8.,         30452.,         30452.,10.69,    F
   8,306,   1,     -0.538,     -0.000,      6.078,      0.507,      0.032,     13.726,             0.,            22.,         77829.,         77829., 7.66,    F
   9,307,   1,     -0.650,     -0.000,      7.688,      0.537,      0.054,     17.362,             0.,            27.,         98204.,         98204., 5.74,    F
  10,308,   1,     -0.363,     -0.000,      8.900,      0.657,      0.065,     20.100,             0.,            32.,        115373.,        115373., 3.82,    F
  11,309,   1,     -0.563,     -0.000,      2.143,      0.722,      0.046,      4.839,             0.,             8.,         28243.,         28243., 7.75,    F
  12,310,   1,     -0.188,     -0.000,     -0.773,      0.800,      0.006,     -1.746,             0.,            -2.,         -7468.,         -7468., 9.55,    F
  13,311,   1,     -0.375,     -0.000,      2.012,      0.707,      0.004,      4.543,             0.,             8.,         27078.,         27078., 7.62,    F
  14,312,   1,     -0.225,     -0.000,      3.854,      0.519,      0.022,      8.703,             0.,            14.,         50589.,         50589., 6.01,    F
  15,313,   1,     -0.100,     -0.000,     -1.092,      0.174,      0.013,     -2.465,             0.,            -4.,        -13633.,        -13633., 9.24,    F
  16,314,   1,     -0.287,     -0.000,     -2.444,      0.089,     -0.013,     -5.519,             0.,            -9.,        -32125.,        -32125.,10.43,    F
  17,315,   1,     -0.300,     -0.000,      1.773,      0.170,     -0.004,      4.004,             0.,             6.,         22175.,         22175., 7.60,    F
  18,316,   1,     -0.137,     -0.000,      2.263,      0.127,      0.016,      5.110,             0.,             8.,         28997.,         28997., 7.00,    F
  19,317,   1,     -0.137,     -0.000,      1.279,     -0.022,      0.014,      2.888,             0.,             4.,         15807.,         15807., 7.48,    F
  20,318,   1,     -0.087,     -0.000,      0.953,      0.057,      0.009,      2.153,             0.,             3.,         12125.,         12125., 7.55,    F
  21,319,   1,     -0.075,     -0.000,      2.201,      0.238,      0.012,      4.971,             0.,             8.,         28873.,         28873., 6.46,    F
  22,320,   1,     -0.050,     -0.000,      3.508,      0.254,      0.022,      7.921,             0.,            13.,         45800.,         45800., 5.21,    F
  23,321,   1,     -0.249,     -0.000,      2.194,      0.243,      0.023,      4.956,             0.,             8.,         28161.,         28161., 5.79,    F
  24,322,   1,     -0.112,     -0.000,     -2.493,      0.222,      0.001,     -5.630,             0.,            -9.,        -31486.,        -31486., 8.97,    F
  25,323,   1,     -0.238,     -0.000,     -4.654,      0.170,     -0.027,    -10.510,             0.,           -17.,        -59964.,        -59964.,10.92,    F
  26,324,   1,     -0.100,     -0.000,     -2.011,      0.046,     -0.027,     -4.541,             0.,            -7.,        -26063.,        -26063., 9.53,    F
  27,325,   1,     -0.300,     -0.000,      5.086,     -0.089,      0.010,     11.486,             0.,            18.,         63634.,         63634., 4.59,    F
  28,326,   1,     -0.413,     -0.000,      5.723,     -0.147,      0.043,     12.925,             0.,            20.,         71251.,         71251., 3.55,    F
  29,327,   1,     -0.312,     -0.000,      0.123,     -0.012,      0.025,      0.278,             0.,             0.,           402.,           402., 6.96,    F
  30,328,   1,     -0.213,     -0.000,     -0.280,      0.253,     -0.000,     -0.633,             0.,            -1.,         -3431.,         -3431., 7.18,    F
  31,329,   1,     -0.312,     -0.000,      2.310,      0.451,      0.007,      5.217,             0.,             8.,         30151.,         30151., 5.27,    F
  32,330,   1,     -0.275,     -0.000,      5.775,      0.362,      0.031,     13.041,             0.,            21.,         74401.,         74401., 2.43,    F
  33,331,   1,     -0.162,     -0.000,      4.743,      0.229,      0.042,     10.711,             0.,            17.,         61154.,         61154., 2.48,    F
  34,332,   1,     -0.112,     -0.000,      5.139,      0.380,      0.039,     11.606,             0.,            19.,         67009.,         67009., 1.56,    F
  35,333,   1,     -0.275,     -0.000,      6.874,      0.615,      0.047,     15.524,             0.,            25.,         89534.,         89534.,-0.38,    F
  36,334,   1,     -0.287,     -0.000,      3.356,      0.725,      0.042,      7.578,             0.,            12.,         44848.,         44848., 1.35,    F
  37,335,   1,     -0.087,     -0.000,      4.973,      0.691,      0.032,     11.231,             0.,            18.,         66179.,         66179.,-0.31,    F
  38,336,   1,     -0.325,     -0.000,      4.945,      0.705,      0.039,     11.167,             0.,            18.,         64958.,         64958.,-0.87,    F
  39,337,   1,     -0.112,     -0.000,      2.360,      0.665,      0.030,      5.330,             0.,             9.,         32507.,         32507., 0.39,    F
  40,338,   1,     -0.112,     -0.000,      1.334,      0.507,      0.015,      3.013,             0.,             5.,         18695.,         18695., 0.88,    F
  41,339,   1,     -0.075,     -0.000,      2.000,      0.495,      0.013,      4.516,             0.,             8.,         27305.,         27305., 0.20,    F
  42,340,   1,     -0.175,     -0.000,      3.081,      0.403,      0.020,      6.957,             0.,            11.,         40417.,         40417.,-0.81,    F
  43,341,   1,     -0.125,     -0.000,      0.040,      0.258,      0.013,      0.091,             0.,             0.,          1091.,          1091., 1.07,    F
  44,342,   1,     -0.063,     -0.000,     -0.100,      0.207,     -0.000,     -0.227,             0.,            -0.,          -718.,          -718., 1.17,    F
  45,343,   1,     -0.087,     -0.000,      0.293,      0.195,      0.001,      0.662,             0.,             1.,          4176.,          4176., 0.89,    F
  46,344,   1,     -0.075,     -0.000,      0.244,      0.138,      0.002,      0.551,             0.,             1.,          3384.,          3384., 0.90,    F
  47,345,   1,     -0.112,     -0.000,      1.486,      0.029,      0.006,      3.356,             0.,             5.,         18729.,         18729.,-0.02,    F
  48,346,   1,     -0.087,     -0.000,     -1.678,      0.020,      0.000,     -3.790,             0.,            -6.,        -21751.,        -21751., 2.14,    F
  49,347,   1,     -0.112,     -0.000,     -7.535,     -0.065,     -0.034,    -17.016,             0.,           -27.,        -97312.,        -97312., 6.71,    F
  50,348,   1,     -0.200,     -0.000,     -4.427,     -0.179,     -0.048,     -9.997,             0.,           -16.,        -58365.,        -58365., 5.39,    F
  51,349,   1,     -0.100,     -0.000,     -7.160,     -0.369,     -0.045,    -16.170,             0.,           -26.,        -93703.,        -93703., 7.99,    F
