Day of sim.,Day of year,Year,Air T,Radiation
,,,(deg. C),(W/m2)
day,doy,year,air_temp,rad
   1, 64,   1,           3.90,         107.00
   2, 65,   1,           2.90,          62.50
   3, 66,   1,           4.40,          56.72
   4, 67,   1,           3.80,         101.00
   5, 68,   1,           6.50,          69.40
   6, 69,   1,           6.60,          55.50
   7, 70,   1,           6.00,          23.10
   8, 71,   1,           7.00,         136.00
   9, 72,   1,           6.10,         103.00
  10, 73,   1,           4.30,          90.20
  11, 74,   1,           2.40,         160.20
  12, 75,   1,           6.40,          46.20
  13, 76,   1,           7.60,          78.70
  14, 77,   1,           6.90,          92.50
  15, 78,   1,           7.50,          33.50
  16, 79,   1,           6.20,         150.00
  17, 80,   1,           4.80,         142.00
  18, 81,   1,           2.80,         187.00
  19, 82,   1,           1.50,         118.00
  20, 83,   1,           1.60,         188.00
  21, 84,   1,           3.30,         177.00
  22, 85,   1,           4.00,         196.00
  23, 86,   1,           3.90,         193.00
  24, 87,   1,           5.40,         190.00
  25, 88,   1,           4.10,         155.00
  26, 89,   1,           1.90,         209.00
  27, 90,   1,           3.50,         199.00
  28, 91,   1,           2.60,         211.00
  29, 92,   1,           6.00,         103.00
  30, 93,   1,           6.40,          81.00
  31, 94,   1,           4.90,         209.00
  32, 95,   1,           4.60,         135.00
  33, 96,   1,           7.90,         219.00
  34, 97,   1,          11.10,         225.00
  35, 98,   1,          10.60,         229.00
  36, 99,   1,           9.80,         212.00
  37,100,   1,           8.40,         232.00
  38,101,   1,           5.40,         224.00
  39,102,   1,           5.90,         130.00
  40,103,   1,          11.30,         196.00
  41,104,   1,           5.60,         224.00
  42,105,   1,           5.70,         236.00
  43,106,   1,           8.90,         215.00
  44,107,   1,           8.90,         255.00
  45,108,   1,           7.10,         231.00
  46,109,   1,           7.40,         255.00
  47,110,   1,           7.80,         237.00
  48,111,   1,           8.60,         267.00
  49,112,   1,           9.60,         266.00
  50,113,   1,          10.40,         275.00
  51,114,   1,          11.20,         275.00
  52,115,   1,           9.80,         247.00
  53,116,   1,           9.30,         248.00
  54,117,   1,           7.40,         128.00
  55,118,   1,           9.70,         166.00
  56,119,   1,           9.70,         234.00
  57,120,   1,           7.10,          63.60
  58,121,   1,           8.10,          60.10
  59,122,   1,           8.90,         158.00
  60,123,   1,           8.90,         163.00
  61,124,   1,           9.40,         224.00
  62,125,   1,           8.20,         280.00
  63,126,   1,           8.00,         230.00
  64,127,   1,           8.40,         284.00
  65,128,   1,          10.80,         269.00
  66,129,   1,          11.00,         280.00
  67,130,   1,          12.80,         270.00
  68,131,   1,          12.70,         223.20
  69,132,   1,           7.10,         309.00
  70,133,   1,           6.00,         199.00
  71,134,   1,           6.70,         237.00
  72,135,   1,           6.90,         322.00
  73,136,   1,           8.80,         181.00
  74,137,   1,          10.30,         201.00
  75,138,   1,          10.90,         182.20
  76,139,   1,          11.00,          76.30
  77,140,   1,          12.10,         256.00
  78,141,   1,          10.80,         310.00
  79,142,   1,          12.60,         263.00
  80,143,   1,          13.50,         190.00
  81,144,   1,          13.20,         200.00
  82,145,   1,          11.60,         134.00
  83,146,   1,          12.10,         193.00
  84,147,   1,          13.40,         325.00
  85,148,   1,          12.10,         230.00
  86,149,   1,          12.50,         327.00
  87,150,   1,          12.60,         332.00
  88,151,   1,          13.70,         211.00
  89,152,   1,          15.30,         321.00
  90,153,   1,          16.10,         334.00
  91,154,   1,          17.40,         328.00
  92,155,   1,          14.90,         325.00
  93,156,   1,          12.80,         156.00
  94,157,   1,          12.60,         262.00
  95,158,   1,          11.10,         238.00
  96,159,   1,          13.60,         274.00
  97,160,   1,          13.60,         270.00
  98,161,   1,          13.50,         324.00
  99,162,   1,          15.10,         246.00
 100,163,   1,          17.20,         130.00
 101,164,   1,          16.20,          75.20
 102,165,   1,          18.30,         165.00
 103,166,   1,          17.40,         346.00
 104,167,   1,          17.00,         344.00
 105,168,   1,          17.80,         307.20
