Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1, 64,   1,  -1272.102,      0.000,   6603.768,    980.631,      0.000,   1904.760,             0.,          8290.,      29845018.,      29845018., 5.11,    F
   2, 65,   1,   -743.050,      0.000,   7581.039,   1066.444,      0.000,   2164.655,             0.,         10160.,      36574444.,      36574444., 3.91,    F
   3, 66,   1,   -674.335,      0.000,   5836.587,   1075.706,      0.000,   1649.625,             0.,          7959.,      28652610.,      28652610., 5.09,    F
   4, 67,   1,  -1200.769,      0.000,   6395.680,   1108.010,      0.000,   1789.097,             0.,          8166.,      29397502.,      29397502., 4.87,    F
   5, 68,   1,   -825.083,      0.000,   3373.631,    968.283,      0.000,    933.940,             0.,          4492.,      16170471.,      16170471., 6.95,    F
   6, 69,   1,   -659.828,      0.000,   3210.483,    794.126,      0.000,    879.464,             0.,          4264.,      15348689.,      15348689., 7.03,    F
   7, 70,   1,   -274.631,      0.000,   3804.151,    593.115,      0.000,   1031.058,             0.,          5202.,      18727350.,      18727350., 6.42,    F
   8, 71,   1,  -1616.877,      0.000,   2676.133,    431.173,      0.000,    717.565,             0.,          2229.,       8024022.,       8024022., 8.13,    F
   9, 72,   1,  -1224.547,      0.000,   3617.807,    282.515,      0.000,    959.569,             0.,          3670.,      13212243.,      13212243., 7.24,    F
  10, 73,   1,  -1072.370,      0.000,   5513.072,    390.825,      0.000,   1446.271,             0.,          6338.,      22817922.,      22817922., 5.59,    F
  11, 74,   1,  -1904.610,      0.000,   7491.996,    610.446,      0.000,   1943.683,             0.,          8221.,      29594622.,      29594622., 4.37,    F
  12, 75,   1,   -549.263,      0.000,   3045.656,    572.174,      0.000,    781.316,             0.,          3888.,      13995696.,      13995696., 6.88,    F
  13, 76,   1,   -935.649,      0.000,   1703.278,    530.003,      0.000,    432.010,             0.,          1747.,       6288454.,       6288454., 8.12,    F
  14, 77,   1,  -1099.714,      0.000,   2438.898,    473.765,      0.000,    611.516,             0.,          2449.,       8815456.,       8815456., 7.67,    F
  15, 78,   1,   -398.275,      0.000,   1751.120,    276.591,      0.000,    433.988,             0.,          2084.,       7503402.,       7503402., 7.86,    F
  16, 79,   1,  -1783.320,      0.000,   3147.903,     43.449,      0.000,    771.030,             0.,          2201.,       7924722.,       7924722., 7.76,    F
  17, 80,   1,  -1688.210,      0.000,   4626.645,    122.367,      0.000,   1119.807,             0.,          4224.,      15205432.,      15205432., 6.49,    F
  18, 81,   1,  -2223.206,      0.000,   6730.200,    381.491,      0.000,   1609.421,             0.,          6566.,      23636214.,      23636214., 5.01,    F
  19, 82,   1,  -1402.878,      0.000,   8024.921,    665.288,      0.000,   1895.760,             0.,          9280.,      33407194.,      33407194., 3.25,    F
  20, 83,   1,  -2235.094,      0.000,   7790.874,    980.961,      0.000,   1817.876,             0.,          8444.,      30396630.,      30396630., 3.63,    F
  21, 84,   1,  -2104.318,      0.000,   5829.949,   1127.178,      0.000,   1343.418,             0.,          6263.,      22546302.,      22546302., 4.85,    F
  22, 85,   1,  -2330.205,      0.000,   4985.439,   1154.073,      0.000,   1134.356,             0.,          4997.,      17990666.,      17990666., 5.53,    F
  23, 86,   1,  -2294.539,      0.000,   5019.494,   1068.564,      0.000,   1127.548,             0.,          4975.,      17910552.,      17910552., 5.47,    F
  24, 87,   1,  -2258.872,      0.000,   3329.886,    826.302,      0.000,    738.348,             0.,          2665.,       9593847.,       9593847., 6.82,    F
  25, 88,   1,  -1842.764,      0.000,   4686.985,    659.398,      0.000,   1025.670,             0.,          4580.,      16488719.,      16488719., 5.60,    F
  26, 89,   1,  -2484.759,      0.000,   6996.230,    713.564,      0.000,   1510.721,             0.,          6812.,      24524434.,      24524434., 4.14,    F
  27, 90,   1,  -2365.871,      0.000,   5162.968,    722.566,      0.000,   1099.885,             0.,          4673.,      16821686.,      16821686., 5.36,    F
  28, 91,   1,  -2508.537,      0.000,   6059.684,    774.836,      0.000,   1273.342,             0.,          5665.,      20392214.,      20392214., 4.67,    F
  29, 92,   1,  -1224.547,      0.000,   2286.291,    728.534,      0.000,    473.796,             0.,          2291.,       8246692.,       8246692., 6.69,    F
  30, 93,   1,   -962.993,      0.000,   1816.140,    584.087,      0.000,    371.098,             0.,          1830.,       6587636.,       6587636., 6.94,    F
  31, 94,   1,  -2484.759,      0.000,   3428.454,    397.189,      0.000,    690.605,             0.,          2056.,       7401670.,       7401670., 6.76,    F
  32, 95,   1,  -1604.988,      0.000,   3703.717,    317.501,      0.000,    735.311,             0.,          3190.,      11484293.,      11484293., 6.02,    F
  33, 96,   1,  -2603.647,      0.000,    119.456,     14.437,      0.000,     23.369,             0.,         -2477.,      -8916085.,      -8916085., 9.53,    F
  34, 97,   1,  -2674.980,      0.000,  -3274.672,   -255.145,      0.000,   -631.137,             0.,         -6922.,     -24918224.,     -24918224.,12.38,    F
  35, 98,   1,  -2722.535,      0.000,  -2610.321,   -472.616,      0.000,   -495.525,             0.,         -6381.,     -22972088.,     -22972088.,12.16,    F
  36, 99,   1,  -2520.426,      0.000,  -1634.771,   -736.420,      0.000,   -305.593,             0.,         -5264.,     -18951158.,     -18951158.,11.56,    F
  37,100,   1,  -2758.202,      0.000,    -26.169,   -942.072,      0.000,     -4.816,             0.,         -3780.,     -13608096.,     -13608096.,10.71,    F
  38,101,   1,  -2663.091,      0.000,   3263.565,   -795.307,      0.000,    591.138,             0.,           402.,       1445614.,       1445614., 8.12,    F
  39,102,   1,  -1545.544,      0.000,   2693.079,   -493.363,      0.000,    479.995,             0.,          1149.,       4137882.,       4137882., 7.64,    F
  40,103,   1,  -2330.205,      0.000,  -3114.107,   -501.852,      0.000,   -546.005,             0.,         -6581.,     -23690646.,     -23690646.,12.56,    F
  41,104,   1,  -2663.091,      0.000,   3135.392,   -255.815,      0.000,    540.644,             0.,           768.,       2763403.,       2763403., 7.98,    F
  42,105,   1,  -2805.757,      0.000,   3012.827,    -99.472,      0.000,    510.772,             0.,           627.,       2257428.,       2257428., 8.05,    F
  43,106,   1,  -2556.092,      0.000,   -434.484,   -288.700,      0.000,    -72.399,             0.,         -3400.,     -12238273.,     -12238273.,10.63,    F
  44,107,   1,  -3031.644,      0.000,   -352.618,   -444.174,      0.000,    -57.735,             0.,         -3943.,     -14193081.,     -14193081.,11.05,    F
  45,108,   1,  -2746.313,      0.000,   1648.387,   -189.013,      0.000,    265.114,             0.,         -1037.,      -3732771.,      -3732771., 9.25,    F
  46,109,   1,  -3031.644,      0.000,   1356.696,   -285.369,      0.000,    214.266,             0.,         -1772.,      -6379934.,      -6379934., 9.75,    F
  47,110,   1,  -2817.646,      0.000,    964.196,   -397.056,      0.000,    149.481,             0.,         -2133.,      -7678874.,      -7678874.,10.02,    F
