Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,slurry_temp
   1,299,   1,    0.50,    0.00,    0.50,   10.00,    9.40,    8.38,   14.50
   2,300,   1,    0.50,    0.00,    0.50,   13.30,   11.65,    9.68,   13.95
   3,301,   1,    0.50,    0.00,    0.50,   12.50,   12.90,   10.64,   13.72
   4,302,   1,    0.50,    0.00,    0.50,   10.50,   11.50,   11.02,   13.31
   5,303,   1,    0.50,    0.00,    0.50,   10.80,   10.65,   11.42,   12.85
   6,304,   1,    0.50,    0.00,    0.50,   10.20,   10.50,   11.46,   12.45
   7,305,   1,    0.50,    0.00,    0.50,   10.60,   10.40,   10.92,   12.11
   8,306,   1,    0.50,    0.00,    0.50,    7.40,    9.00,    9.90,   11.55
   9,307,   1,    0.50,    0.00,    0.50,    5.40,    6.40,    8.88,   10.65
  10,308,   1,    0.50,    0.00,    0.50,    3.50,    4.45,    7.42,    9.56
  11,309,   1,    0.50,    0.00,    0.50,    7.70,    5.60,    6.92,    8.90
  12,310,   1,    0.50,    0.00,    0.50,    9.70,    8.70,    6.74,    8.86
  13,311,   1,    0.50,    0.00,    0.50,    7.60,    8.65,    6.78,    8.79
  14,312,   1,    0.50,    0.00,    0.50,    5.90,    6.75,    6.88,    8.41
  15,313,   1,    0.50,    0.00,    0.50,    9.30,    7.60,    8.04,    8.29
  16,314,   1,    0.50,    0.00,    0.50,   10.50,    9.90,    8.60,    8.58
  17,315,   1,    0.50,    0.00,    0.50,    7.50,    9.00,    8.16,    8.65
  18,316,   1,    0.50,    0.00,    0.50,    6.90,    7.20,    8.02,    8.40
  19,317,   1,    0.50,    0.00,    0.50,    7.40,    7.15,    8.32,    8.20
  20,318,   1,    0.50,    0.00,    0.50,    7.50,    7.45,    7.96,    8.07
  21,319,   1,    0.50,    0.00,    0.50,    6.40,    6.95,    7.14,    7.87
  22,320,   1,    0.50,    0.00,    0.50,    5.10,    5.75,    6.66,    7.48
  23,321,   1,    0.50,    0.00,    0.50,    5.70,    5.40,    6.42,    7.12
  24,322,   1,    0.50,    0.00,    0.50,    9.10,    7.40,    6.76,    7.19
  25,323,   1,    0.50,    0.00,    0.50,   11.10,   10.10,    7.48,    7.71
  26,324,   1,    0.50,    0.00,    0.50,    9.60,   10.35,    8.12,    8.17
  27,325,   1,    0.50,    0.00,    0.50,    4.30,    6.95,    7.96,    7.94
  28,326,   1,    0.50,    0.00,    0.50,    3.20,    3.75,    7.46,    7.23
  29,327,   1,    0.50,    0.00,    0.50,    6.90,    5.05,    7.02,    6.91
  30,328,   1,    0.50,    0.00,    0.50,    7.20,    7.05,    6.24,    6.94
  31,329,   1,    0.50,    0.00,    0.50,    5.20,    6.20,    5.36,    6.80
  32,330,   1,    0.50,    0.00,    0.50,    2.20,    3.70,    4.94,    6.24
  33,331,   1,    0.50,    0.00,    0.50,    2.30,    2.25,    4.76,    5.54
  34,332,   1,    0.50,    0.00,    0.50,    1.40,    1.85,    3.66,    4.89
  35,333,   1,    0.50,    0.00,    0.50,   -0.60,    0.40,    2.10,    4.08
  36,334,   1,    0.50,    0.00,    0.50,    1.30,    0.35,    1.32,    3.43
  37,335,   1,    0.50,    0.00,    0.50,   -0.40,    0.45,    0.80,    2.87
  38,336,   1,    0.50,    0.00,    0.50,   -1.00,   -0.70,    0.14,    2.23
  39,337,   1,    0.50,    0.00,    0.50,    0.40,   -0.30,   -0.06,    1.77
  40,338,   1,    0.50,    0.00,    0.50,    0.90,    0.65,    0.24,    1.56
  41,339,   1,    0.50,    0.00,    0.50,    0.20,    0.55,    0.02,    1.36
  42,340,   1,    0.50,    0.00,    0.50,   -0.90,   -0.35,   -0.08,    1.04
  43,341,   1,    0.50,    0.00,    0.50,    1.10,    0.10,    0.34,    0.89
