Day of sim.,Day of year,Year,Radiation,Generation,Air,Floor,Lower wall,Upper wall,Feed,Total,Total step,          Total step adjusted,Steady state temp,Steady state used
,,,(W),(W),(W),(W),(W),(W),(W),(W),(J),(J),,
day,doy,year,rad,gen,air,floor,lower_wall,upper_wall,feed,total,total_step,total_adjusted,          steady_state_used,steady_state_temp
   1,  1,   1,     -1.481,     -0.000,     70.722,     25.487,      0.000,    208.508,            -0.,           311.,       1120086.,       1120086.,-4.64,    F
   2,  2,   1,     -1.462,     -0.000,     67.176,     24.064,      0.000,    198.055,            -0.,           295.,       1063192.,       1063192.,-4.66,    F
   3,  3,   1,     -1.446,     -0.000,     63.801,     22.711,      0.000,    188.105,            -0.,           280.,       1009036.,       1009036.,-4.68,    F
   4,  4,   1,     -1.433,     -0.000,     60.589,     21.423,      0.000,    178.634,            -0.,           266.,        957476.,        957476.,-4.70,    F
   5,  5,   1,     -1.423,     -0.000,     57.530,     20.198,      0.000,    169.616,            -0.,           252.,        908376.,        908376.,-4.71,    F
   6,  6,   1,     -1.417,     -0.000,     54.617,     19.031,      0.000,    161.028,            -0.,           239.,        861608.,        861608.,-4.72,    F
   7,  7,   1,     -1.413,     -0.000,     51.843,     17.920,      0.000,    152.847,            -0.,           227.,        817050.,        817050.,-4.73,    F
   8,  8,   1,     -1.413,     -0.000,     49.199,     16.862,      0.000,    145.053,            -0.,           215.,        774587.,        774587.,-4.73,    F
   9,  9,   1,     -1.417,     -0.000,     46.679,     15.855,      0.000,    137.625,            -0.,           204.,        734111.,        734111.,-4.72,    F
  10, 10,   1,     -1.423,     -0.000,     44.278,     14.895,      0.000,    130.544,            -0.,           193.,        695517.,        695517.,-4.72,    F
  11, 11,   1,     -1.433,     -0.000,     41.988,     13.980,      0.000,    123.793,            -0.,           183.,        658709.,        658709.,-4.70,    F
  12, 12,   1,     -1.446,     -0.000,     39.804,     13.109,      0.000,    117.355,            -0.,           173.,        623594.,        623594.,-4.69,    F
  13, 13,   1,     -1.462,     -0.000,     37.721,     12.278,      0.000,    111.213,            -0.,           164.,        590083.,        590083.,-4.67,    F
  14, 14,   1,     -1.481,     -0.000,     35.734,     11.485,      0.000,    105.353,            -0.,           155.,        558094.,        558094.,-4.65,    F
  15, 15,   1,     -1.504,     -0.000,     33.836,     10.729,      0.000,     99.759,            -0.,           147.,        527547.,        527547.,-4.62,    F
  16, 16,   1,     -1.529,     -0.000,     32.025,     10.008,      0.000,     94.418,            -0.,           138.,        498369.,        498369.,-4.59,    F
  17, 17,   1,     -1.558,     -0.000,     30.295,      9.319,      0.000,     89.318,            -0.,           131.,        470488.,        470488.,-4.56,    F
  18, 18,   1,     -1.590,     -0.000,     28.642,      8.662,      0.000,     84.445,            -0.,           123.,        443838.,        443838.,-4.52,    F
  19, 19,   1,     -1.625,     -0.000,     27.062,      8.034,      0.000,     79.788,            -0.,           116.,        418355.,        418355.,-4.48,    F
  20, 20,   1,     -1.664,     -0.000,     25.553,      7.435,      0.000,     75.337,            -0.,           109.,        393980.,        393980.,-4.43,    F
  21, 21,   1,     -1.705,     -0.000,     24.109,      6.862,      0.000,     71.080,            -0.,           103.,        370655.,        370655.,-4.38,    F
  22, 22,   1,     -1.750,     -0.000,     22.728,      6.315,      0.000,     67.008,            -0.,            97.,        348326.,        348326.,-4.33,    F
  23, 23,   1,     -1.798,     -0.000,     21.406,      5.791,      0.000,     63.112,            -0.,            91.,        326943.,        326943.,-4.27,    F
  24, 24,   1,     -1.849,     -0.000,     20.141,      5.291,      0.000,     59.383,            -0.,            85.,        306458.,        306458.,-4.21,    F
  25, 25,   1,     -1.903,     -0.000,     18.930,      4.812,      0.000,     55.812,            -0.,            80.,        286824.,        286824.,-4.15,    F
  26, 26,   1,     -1.960,     -0.000,     17.770,      4.353,      0.000,     52.391,            -0.,            74.,        267999.,        267999.,-4.08,    F
  27, 27,   1,     -2.020,     -0.000,     16.658,      3.914,      0.000,     49.113,            -0.,            69.,        249942.,        249942.,-4.00,    F
  28, 28,   1,     -2.083,     -0.000,     15.792,      3.575,      0.000,     46.560,            -0.,            65.,        233083.,        156452.,-3.93,    F
  29, 29,   1,     -2.150,     -0.000,     15.508,      3.470,      0.000,     45.723,             0.,            63.,        225185.,             0.,-3.85,    F
  30, 30,   1,     -2.219,     -0.000,     15.211,      3.361,      0.000,     44.847,             0.,            61.,        220319.,             0.,-3.77,    F
  31, 31,   1,     -2.291,     -0.000,     14.901,      3.246,      0.000,     43.933,             0.,            60.,        215242.,             0.,-3.68,    F
  32, 32,   1,     -2.366,     -0.000,     14.579,      3.126,      0.000,     42.982,             0.,            58.,        209954.,             0.,-3.59,    F
  33, 33,   1,     -2.445,     -0.000,     14.244,      3.001,      0.000,     41.994,             0.,            57.,        204458.,             0.,-3.49,    F
  34, 34,   1,     -2.526,     -0.000,     13.896,      2.870,      0.000,     40.969,             0.,            55.,        198755.,             0.,-3.40,    F
  35, 35,   1,     -2.610,     -0.000,     13.536,      2.735,      0.000,     39.907,             0.,            54.,        192846.,             0.,-3.30,    F
  36, 36,   1,     -2.696,     -0.000,     13.163,      2.594,      0.000,     38.809,             0.,            52.,        186735.,             0.,-3.19,    F
  37, 37,   1,     -2.786,     -0.000,     12.779,      2.449,      0.000,     37.675,             0.,            50.,        180421.,             0.,-3.08,    F
  38, 38,   1,     -2.878,     -0.000,     12.382,      2.298,      0.000,     36.506,             0.,            48.,        173908.,             0.,-2.97,    F
  39, 39,   1,     -2.974,     -0.000,     11.973,      2.143,      0.000,     35.301,             0.,            46.,        167196.,             0.,-2.86,    F
  40, 40,   1,     -3.072,     -0.000,     11.553,      1.982,      0.000,     34.061,             0.,            45.,        160289.,             0.,-2.74,    F
  41, 41,   1,     -3.173,     -0.000,     11.121,      1.817,      0.000,     32.787,             0.,            43.,        153188.,             0.,-2.62,    F
  42, 42,   1,     -3.276,     -0.000,     10.677,      1.647,      0.000,     31.478,             0.,            41.,        145895.,             0.,-2.49,    F
  43, 43,   1,     -3.382,     -0.000,     10.222,      1.473,      0.000,     30.136,             0.,            38.,        138413.,             0.,-2.37,    F
  44, 44,   1,     -3.491,     -0.000,      9.755,      1.293,      0.000,     28.760,             0.,            36.,        130743.,             0.,-2.23,    F
  45, 45,   1,     -3.602,     -0.000,      9.277,      1.109,      0.000,     27.352,             0.,            34.,        122888.,             0.,-2.10,    F
  46, 46,   1,     -3.716,     -0.000,      8.788,      0.920,      0.000,     25.911,             0.,            32.,        114851.,             0.,-1.96,    F
  47, 47,   1,     -3.833,     -0.000,      8.289,      0.727,      0.000,     24.437,             0.,            30.,        106633.,             0.,-1.82,    F
  48, 48,   1,     -3.952,     -0.000,      7.778,      0.530,      0.000,     22.932,             0.,            27.,         98237.,             0.,-1.68,    F
  49, 49,   1,     -4.073,     -0.000,      7.257,      0.328,      0.000,     21.396,             0.,            25.,         89666.,             0.,-1.53,    F
  50, 50,   1,     -4.197,     -0.000,      6.725,      0.121,     -0.000,     19.829,             0.,            22.,         80921.,             0.,-1.38,    F
