Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
   1,  1,   1,  110.00,    0.00,    3.89,   -4.92,   -2.91,   -2.86,   15.00,   14.85
   2,  2,   1,  110.00,    0.00,    3.89,   -4.94,   -2.93,   -2.89,   14.71,   14.56
   3,  3,   1,  110.00,    0.00,    3.89,   -4.96,   -2.95,   -2.92,   14.43,   14.28
   4,  4,   1,  110.00,    0.00,    3.89,   -4.98,   -2.97,   -2.94,   14.15,   14.01
   5,  5,   1,  110.00,    0.00,    3.89,   -4.99,   -2.98,   -2.96,   13.87,   13.73
   6,  6,   1,  110.00,    0.00,    3.89,   -5.00,   -2.99,   -2.97,   13.60,   13.46
   7,  7,   1,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -2.98,   13.33,   13.20
   8,  8,   1,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -2.99,   13.07,   12.93
   9,  9,   1,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -3.00,   12.81,   12.67
  10, 10,   1,  110.00,    0.00,    3.89,   -4.99,   -2.99,   -3.00,   12.55,   12.42
  11, 11,   1,  110.00,    0.00,    3.89,   -4.98,   -2.98,   -2.99,   12.30,   12.17
  12, 12,   1,  110.00,    0.00,    3.89,   -4.96,   -2.97,   -2.98,   12.05,   11.92
  13, 13,   1,  110.00,    0.00,    3.89,   -4.94,   -2.95,   -2.97,   11.81,   11.68
  14, 14,   1,  110.00,    0.00,    3.89,   -4.92,   -2.93,   -2.96,   11.56,   11.44
  15, 15,   1,  110.00,    0.00,    3.89,   -4.90,   -2.91,   -2.94,   11.33,   11.21
  16, 16,   1,  110.00,    0.00,    3.89,   -4.87,   -2.88,   -2.92,   11.09,   10.97
  17, 17,   1,  110.00,    0.00,    3.89,   -4.83,   -2.85,   -2.89,   10.87,   10.75
  18, 18,   1,  110.00,    0.00,    3.89,   -4.80,   -2.81,   -2.86,   10.64,   10.52
  19, 19,   1,  110.00,    0.00,    3.89,   -4.76,   -2.78,   -2.83,   10.42,   10.30
  20, 20,   1,  110.00,    0.00,    3.89,   -4.71,   -2.73,   -2.79,   10.20,   10.09
  21, 21,   1,  110.00,    0.00,    3.89,   -4.66,   -2.69,   -2.75,    9.99,    9.88
  22, 22,   1,  110.00,    0.00,    3.89,   -4.61,   -2.64,   -2.71,    9.78,    9.67
  23, 23,   1,  110.00,    0.00,    3.89,   -4.56,   -2.59,   -2.66,    9.57,    9.46
  24, 24,   1,  110.00,    0.00,    3.89,   -4.50,   -2.53,   -2.61,    9.37,    9.26
  25, 25,   1,  110.00,    0.00,    3.89,   -4.44,   -2.47,   -2.55,    9.17,    9.07
  26, 26,   1,  110.00,    0.00,    3.89,   -4.37,   -2.40,   -2.50,    8.97,    8.87
  27, 27,   1,  110.00,    0.00,    3.89,   -4.30,   -2.34,   -2.43,    8.78,    8.69
  28, 28,   1,  110.00,    0.00,    3.89,   -4.23,   -2.27,   -2.37,    8.60,    8.50
  29, 29,   1,  110.00,    0.00,    3.89,   -4.15,   -2.19,   -2.30,    8.41,    8.32
  30, 30,   1,  110.00,    0.00,    3.89,   -4.07,   -2.11,   -2.23,    8.23,    8.14
  31, 31,   1,  110.00,    0.00,    3.89,   -3.99,   -2.03,   -2.15,    8.06,    7.97
  32, 32,   1,  110.00,    0.00,    3.89,   -3.90,   -1.95,   -2.07,    7.89,    7.80
  33, 33,   1,  110.00,    0.00,    3.89,   -3.81,   -1.86,   -1.99,    7.72,    7.63
  34, 34,   1,  110.00,    0.00,    3.89,   -3.72,   -1.77,   -1.90,    7.56,    7.47
  35, 35,   1,  110.00,    0.00,    3.89,   -3.63,   -1.67,   -1.81,    7.40,    7.31
  36, 36,   1,  110.00,    0.00,    3.89,   -3.53,   -1.58,   -1.72,    7.24,    7.16
  37, 37,   1,  110.00,    0.00,    3.89,   -3.42,   -1.47,   -1.62,    7.09,    7.01
  38, 38,   1,  110.00,    0.00,    3.89,   -3.32,   -1.37,   -1.52,    6.94,    6.86
  39, 39,   1,  110.00,    0.00,    3.89,   -3.21,   -1.26,   -1.42,    6.79,    6.72
  40, 40,   1,  110.00,    0.00,    3.89,   -3.09,   -1.15,   -1.31,    6.65,    6.58
  41, 41,   1,  110.00,    0.00,    3.89,   -2.98,   -1.04,   -1.20,    6.51,    6.44
  42, 42,   1,  110.00,    0.00,    3.89,   -2.86,   -0.92,   -1.09,    6.38,    6.31
  43, 43,   1,  110.00,    0.00,    3.89,   -2.74,   -0.80,   -0.98,    6.25,    6.19
  44, 44,   1,  110.00,    0.00,    3.89,   -2.61,   -0.68,   -0.86,    6.12,    6.06
  45, 45,   1,  110.00,    0.00,    3.89,   -2.48,   -0.55,   -0.73,    6.00,    5.94
  46, 46,   1,  110.00,    0.00,    3.89,   -2.35,   -0.42,   -0.61,    5.88,    5.82
  47, 47,   1,  110.00,    0.00,    3.89,   -2.22,   -0.29,   -0.48,    5.77,    5.71
  48, 48,   1,  110.00,    0.00,    3.89,   -2.08,   -0.15,   -0.35,    5.66,    5.60
  49, 49,   1,  110.00,    0.00,    3.89,   -1.94,   -0.01,   -0.22,    5.55,    5.50
  50, 50,   1,  110.00,    0.00,    3.89,   -1.80,    0.13,   -0.08,    5.45,    5.39
  51, 51,   1,  110.00,    0.00,    3.89,   -1.66,    0.27,    0.06,    5.35,    5.30
  52, 52,   1,  110.00,    0.00,    3.89,   -1.51,    0.42,    0.20,    5.25,    5.20
  53, 53,   1,  110.00,    0.00,    3.89,   -1.36,    0.57,    0.35,    5.16,    5.11
  54, 54,   1,  110.00,    0.00,    3.89,   -1.20,    0.72,    0.49,    5.07,    5.02
  55, 55,   1,  110.00,    0.00,    3.89,   -1.05,    0.87,    0.64,    4.98,    4.94
  56, 56,   1,  110.00,    0.00,    3.89,   -0.89,    1.03,    0.80,    4.90,    4.86
  57, 57,   1,  110.00,    0.00,    3.89,   -0.73,    1.19,    0.95,    4.82,    4.78
