"site","date.time","temp","depth","country","date","depth.min","depth.max"
"A",2020-05-07 15:53:00,8.48,0.5,"Sweden",2020-05-07,0.5,2.5
"A",2020-05-07 18:53:00,8.3,0.5,"Sweden",2020-05-07,0.5,2.5
"A",2020-05-07 21:53:00,8.26,0.5,"Sweden",2020-05-07,0.5,2.5
"A",2020-05-08 00:53:00,8.24,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 03:53:00,8.22,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 06:53:00,8.21,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 09:53:00,8.2,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 12:53:00,8.11,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 15:53:00,8.09,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 18:53:00,8.1,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-08 21:53:00,8.1,0.5,"Sweden",2020-05-08,0.5,2.5
"A",2020-05-09 00:53:00,8.09,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 03:53:00,8.1,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 06:53:00,8.1,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 09:53:00,8.11,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 12:53:00,8.13,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 15:53:00,8.16,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 18:53:00,8.17,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-09 21:53:00,8.19,0.5,"Sweden",2020-05-09,0.5,2.5
"A",2020-05-10 00:53:00,8.21,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 03:53:00,8.23,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 06:53:00,8.25,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 09:53:00,8.28,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 12:53:00,8.3,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 15:53:00,8.34,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 18:53:00,8.38,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-10 21:53:00,8.41,0.5,"Sweden",2020-05-10,0.5,2.5
"A",2020-05-11 00:53:00,8.42,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 03:53:00,8.44,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 06:53:00,8.46,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 09:53:00,8.63,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 12:53:00,8.66,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 15:53:00,8.69,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 18:53:00,8.69,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-11 21:53:00,8.66,0.5,"Sweden",2020-05-11,0.5,2.5
"A",2020-05-12 00:53:00,8.63,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 03:53:00,8.61,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 06:53:00,8.6,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 09:53:00,8.59,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 12:53:00,8.6,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 15:53:00,8.61,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 18:53:00,8.61,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-12 21:53:00,8.61,0.5,"Sweden",2020-05-12,0.5,2.5
"A",2020-05-13 00:53:00,8.61,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 03:53:00,8.62,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 06:53:00,8.62,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 09:53:00,8.62,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 12:53:00,8.61,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 15:53:00,8.65,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 18:53:00,8.66,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-13 21:53:00,8.66,0.5,"Sweden",2020-05-13,0.5,2.5
"A",2020-05-14 00:53:00,8.64,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 03:53:00,8.63,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 06:53:00,8.61,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 09:53:00,8.59,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 12:53:00,8.57,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 15:53:00,8.56,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 18:53:00,8.6,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-14 21:53:00,8.57,0.5,"Sweden",2020-05-14,0.5,2.5
"A",2020-05-15 00:53:00,8.54,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 03:53:00,8.52,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 06:53:00,8.5,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 09:53:00,8.47,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 12:53:00,8.45,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 15:53:00,8.89,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 18:53:00,8.56,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-15 21:53:00,8.18,0.5,"Sweden",2020-05-15,0.5,2.5
"A",2020-05-16 00:53:00,8.27,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 03:53:00,8.15,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 06:53:00,8.03,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 09:53:00,8.02,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 12:53:00,8.05,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 15:53:00,8.14,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 18:53:00,8.21,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-16 21:53:00,8.27,0.5,"Sweden",2020-05-16,0.5,2.5
"A",2020-05-17 00:53:00,8.31,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 03:53:00,8.35,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 06:53:00,8.4,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 09:53:00,8.47,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 12:53:00,9.89,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 15:53:00,9.15,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 18:53:00,8.84,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-17 21:53:00,8.73,0.5,"Sweden",2020-05-17,0.5,2.5
"A",2020-05-18 00:53:00,8.67,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 03:53:00,8.62,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 06:53:00,8.57,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 09:53:00,8.53,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 12:53:00,8.49,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 15:53:00,8.47,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 18:53:00,8.47,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-18 21:53:00,8.46,0.5,"Sweden",2020-05-18,0.5,2.5
"A",2020-05-19 00:53:00,8.45,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 03:53:00,8.43,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 06:53:00,8.44,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 09:53:00,8.45,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 12:53:00,8.47,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 15:53:00,8.49,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 18:53:00,8.5,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-19 21:53:00,8.52,0.5,"Sweden",2020-05-19,0.5,2.5
"A",2020-05-20 00:53:00,8.54,0.5,"Sweden",2020-05-20,0.5,2.5
