"doy","air.temp","glorad","year","date"
1,-0.192,30.1,2020,2020-01-01
2,-0.371,43.2,2020,2020-01-02
3,3.92,29.3,2020,2020-01-03
4,0.994,24,2020,2020-01-04
5,-4.74,49.8,2020,2020-01-05
6,-9.55,27.3,2020,2020-01-06
7,-4.84,69.7,2020,2020-01-07
8,-2.97,56.4,2020,2020-01-08
9,-14.4,74.1,2020,2020-01-09
10,-5.56,8.63,2020,2020-01-10
11,3.22,8.2,2020,2020-01-11
12,-4.8,46.3,2020,2020-01-12
13,-9.35,25.3,2020,2020-01-13
14,-7.15,32.2,2020,2020-01-14
15,-3.79,23.5,2020,2020-01-15
16,-2.68,54.6,2020,2020-01-16
17,-16.7,107,2020,2020-01-17
18,-15.8,31,2020,2020-01-18
19,-12.3,67.4,2020,2020-01-19
20,-13.9,110,2020,2020-01-20
21,-13.4,81.3,2020,2020-01-21
22,-3.55,99.3,2020,2020-01-22
23,-1.74,64.4,2020,2020-01-23
24,-1.17,75.7,2020,2020-01-24
25,-0.74,31,2020,2020-01-25
26,0.537,34.1,2020,2020-01-26
27,1.05,43,2020,2020-01-27
28,-2.21,47.9,2020,2020-01-28
29,-8.57,125,2020,2020-01-29
30,-11.4,102,2020,2020-01-30
31,-11.1,61.7,2020,2020-01-31
32,-7.09,75.7,2020,2020-02-01
33,-5.22,43.4,2020,2020-02-02
34,-1.79,54.8,2020,2020-02-03
35,-1.78,74.6,2020,2020-02-04
36,-6.04,132,2020,2020-02-05
37,-8.25,37.4,2020,2020-02-06
38,-6.27,31.4,2020,2020-02-07
39,-15.9,147,2020,2020-02-08
40,-19.4,127,2020,2020-02-09
41,-6.26,96.9,2020,2020-02-10
42,-5.44,55.1,2020,2020-02-11
43,-1.21,128,2020,2020-02-12
44,-4.81,62,2020,2020-02-13
45,-19.1,160,2020,2020-02-14
46,-13.2,118,2020,2020-02-15
47,-0.628,108,2020,2020-02-16
48,-6.14,165,2020,2020-02-17
49,-9.7,22.9,2020,2020-02-18
50,-2.97,169,2020,2020-02-19
51,-12.7,172,2020,2020-02-20
52,-12.2,167,2020,2020-02-21
53,-1.46,161,2020,2020-02-22
54,-0.294,155,2020,2020-02-23
55,3.14,157,2020,2020-02-24
56,2.36,95.2,2020,2020-02-25
57,0.0738,41.9,2020,2020-02-26
58,-1.17,53.3,2020,2020-02-27
59,-9.68,148,2020,2020-02-28
60,-12.4,180,2020,2020-02-29
61,-10.5,196,2020,2020-03-01
62,-4.23,59.3,2020,2020-03-02
63,0.553,131,2020,2020-03-03
64,1.82,109,2020,2020-03-04
65,0.777,96.6,2020,2020-03-05
66,-0.177,84,2020,2020-03-06
67,-4.97,212,2020,2020-03-07
68,0.927,167,2020,2020-03-08
69,6.33,152,2020,2020-03-09
70,3.55,32.4,2020,2020-03-10
71,-2.78,150,2020,2020-03-11
72,-1.42,196,2020,2020-03-12
73,2.65,107,2020,2020-03-13
